Name,Salary,AvgPointsPerGame
Giannis Antetokounmpo,12500,61667
Russell Westbrook,11200,55542
Andre Drummond,8200,41107
Devin Booker,7900,36708
Victor Oladipo,7700,40375
Paul George,7500,35583
Myles Turner,7400,51000
D'Angelo Russell,7300,33708
Carmelo Anthony,7100,36375
Lonzo Ball,7000,33458
Khris Middleton,6900,32792
Tobias Harris,6700,30857
Eric Bledsoe,6500,26083
Reggie Jackson,6200,32107
Darren Collison,6000,33917
De'Aaron Fox,5900,26167
Steven Adams,5800,32667
Avery Bradley,5700,25429
Domantas Sabonis,5700,30542
Malcolm Brogdon,5600,28250
Brook Lopez,5500,25333
Rondae Hollis-Jefferson,5500,25679
Brandon Ingram,5400,25333
Willie Cauley-Stein,5400,25333
DeMarre Carroll,5300,29167
Thaddeus Young,5200,26292
Zach Randolph,5200,22000
T.J. Warren,5200,24792
Caris LeVert,5100,23679
Spencer Dinwiddie,5100,25643
Jabari Parker,5000,0
Larry Nance Jr.,4900,24042
Trevor Booker,4900,25107
Mike James,4900,20417
Kentavious Caldwell-Pope,4800,23000
Alex Len,4800,22800
Kyle Kuzma,4700,23292
Skal Labissiere,4600,22167
Buddy Hield,4400,20667
Stanley Johnson,4300,18857
Julius Randle,4300,21250
George Hill,4300,18500
Bogdan Bogdanovic,4300,22833
Jordan Clarkson,4200,21792
Greg Monroe,4200,13950
Allen Crabbe,4100,19036
Tyson Chandler,4100,21792
Marquese Chriss,4100,17083
John Henson,4100,16417
Bojan Bogdanovic,4000,17042
Tyler Ulis,4000,15300
Glenn Robinson III,3900,0
Josh Jackson,3800,19500
Tony Snell,3800,16750
Ivica Zubac,3700,0
Al Jefferson,3600,18650
Kosta Koufos,3500,17542
Raymond Felton,3500,17208
Garrett Temple,3400,17833
Dragan Bender,3400,13958
Alan Williams,3400,0
Ish Smith,3300,17179
Cory Joseph,3300,19125
Lance Stephenson,3200,12458
Matthew Dellavedova,3200,13208
Jerami Grant,3200,16833
Anthony Tolliver,3100,16938
Sean Kilpatrick,3100,12000
Joe Harris,3100,14333
Thon Maker,3100,12750
Andre Roberson,3100,9042
Boban Marjanovic,3000,4000
Jon Leuer,3000,12071
Eric Moreland,3000,2500
Dwight Buycks,3000,0
Langston Galloway,3000,12833
Reggie Bullock,3000,7375
Luis Montero,3000,0
Henry Ellenson,3000,12875
Luke Kennard,3000,8938
Thomas Bryant,3000,0
Alex Caruso,3000,4750
Josh Hart,3000,10550
Tyler Ennis,3000,2800
Vander Blue,3000,0
Andrew Bogut,3000,5100
Corey Brewer,3000,7333
Luol Deng,3000,5000
Damien Wilkins,3000,2450
Joe Young,3000,3875
Alex Poythress,3000,417
Edmond Sumner,3000,0
Ike Anigbogu,3000,750
TJ Leaf,3000,11250
Vince Carter,3000,5667
Jakarr Sampson,3000,6875
Jack Cooley,3000,0
Justin Jackson,3000,8625
Frank Mason III,3000,12500
Malachi Richardson,3000,8833
Georgios Papagiannis,3000,750
Harry Giles,3000,0
Jarrett Allen,3000,11583
Timofey Mozgov,3000,12964
Jeremy Lin,3000,23000
Quincy Acy,3000,11083
Tyler Zeller,3000,7625
Yakuba Ouattara,3000,0
Isaiah Whitehead,3000,1500
Jacob Wiley,3000,2500
Brandon Knight,3000,0
Troy Daniels,3000,6417
Jared Dudley,3000,500
Derrick Jones Jr.,3000,5375
Alec Peters,3000,5625
Davon Reed,3000,0
Jason Terry,3000,6500
DeAndre Liggins,3000,6250
Mirza Teletovic,3000,11000
Sterling Brown,3000,1750
Joel Bolomboy,3000,0
Gary Payton II,3000,0
Rashad Vaughn,3000,6750
D.J. Wilson,3000,625
Alex Abrines,3000,9125
Daniel Hamilton,3000,0
Dakari Johnson,3000,11375
PJ Dozier,3000,0
Terrance Ferguson,3000,2000
Josh Huestis,3000,7042
Nick Collison,3000,1500
Kyle Singler,3000,0
Patrick Patterson,3000,6167
