alpha,beta,ants,p_ants,tau,evap_rate,inten,q,best_res,mean_res,std_res,best_time,mean_time,best_iter,mean_iter
1,1,10,1,3,0.21620230920840763,1.418506711604962,0.26144862009634895,6460.0,6945.26666667,285.825346827,8.271983861923218,6.92172003587,132.0,109.733333333
1,1,10,1,3,0.3424439899088454,1.3148015771163026,0.15114069729601026,7302.0,8120.13333333,429.299874473,4.945623159408569,4.85265880426,67.0,68.6666666667
1,1,10,1,8,0.2452350481595548,0.9470018055197428,0.18492384450525312,6130.0,6785.4,283.174457417,9.287416696548462,7.59630857309,125.0,104.333333333
1,1,10,1,7,0.2574064815528012,2.293813107295843,0.10455593576981083,6032.0,6534.53333333,285.212404281,9.657269954681396,8.04534103076,125.0,104.2
1,1,10,1,2,0.17773719223513595,1.5007425892390436,0.2527369278766994,5850.0,6357.8,236.269535348,7.7957494258880615,9.15681580702,118.0,132.4
1,1,10,1,9,0.16188081861893316,1.9603189244657104,0.23826703514740455,5272.0,6006.93333333,297.890688378,13.619396924972534,10.7187248627,195.0,151.366666667
1,0,10,1,3,0.21620230920840763,1.418506711604962,0.26144862009634895,11964.0,13648.7333333,942.237688814,28.427581310272217,19.9647034725,400.0,291.0
1,0,10,1,3,0.3424439899088454,1.3148015771163026,0.15114069729601026,13490.0,16158.4666667,1406.38104683,18.034668922424316,11.2448855321,222.0,149.633333333
1,0,10,1,8,0.2452350481595548,0.9470018055197428,0.18492384450525312,11442.0,13033.7333333,730.131446309,24.500548839569092,20.885829854,367.0,310.833333333
1,0,10,1,7,0.2574064815528012,2.293813107295843,0.10455593576981083,11142.0,13062.8,908.90448343,29.39094591140747,29.1827239672,400.0,381.5
1,0,10,1,2,0.17773719223513595,1.5007425892390436,0.2527369278766994,11282.0,12765.5333333,699.691490746,27.014089107513428,27.7304280043,400.0,371.066666667
1,0,10,1,9,0.16188081861893316,1.9603189244657104,0.23826703514740455,11868.0,12624.7333333,474.709029009,28.30605912208557,28.7944461028,400.0,394.766666667
