scaling_factor,crossover_rate,best,mean,md_iter,best_iter
0.1,0,1158274.45877,1096011.18787,9243.0,7815
0.1,0.1,1510166.07928,1493597.46415,16092.0,20000
0.1,0.25,1510591.3693,1498863.32037,20000.0,20000
0.1,0.5,1476648.91133,1428564.58889,3521.0,3570
0.1,0.75,1392574.54548,1131757.98649,3276.0,3384
0.1,0.9,762001.671369,614544.90775,3226.0,3227
0.1,1,423634.03058,-inf,3126.0,3126
0.3,0,1266630.67916,1057694.94776,14337.0,20000
0.3,0.1,1501710.72497,1495177.59409,15354.0,15354
0.3,0.25,1510947.38944,1510572.95287,20000.0,20000
0.3,0.5,1510961.70144,1504267.12122,20000.0,20000
0.3,0.75,1509321.96678,1501924.07124,4577.0,4335
0.3,0.9,1490132.54153,1448153.74437,3772.0,3770
0.3,1,609565.739542,424491.340217,3759.0,3762
0.5,0,1341981.32185,1107575.2694,10149.0,20000
0.5,0.1,1502781.74884,1493946.34047,17348.0,20000
0.5,0.25,1510782.5975,1510578.6594,20000.0,20000
0.5,0.5,1510966.08268,1510966.08261,20000.0,20000
0.5,0.75,1510966.08272,1510792.45492,13202.0,15839
0.5,0.9,1510966.08272,1484233.47926,19554.0,17479
0.5,1,1473599.97195,1389973.82235,20000.0,20000
0.7,0,1028935.77806,903948.644536,12806.0,12806
0.7,0.1,1502669.75924,1494704.33083,20000.0,20000
0.7,0.25,1510106.49658,1508407.40023,18908.0,20000
0.7,0.5,1510965.99435,1510618.43711,20000.0,20000
0.7,0.75,1510966.08272,1510966.08272,15079.0,14289
0.7,0.9,1510966.08272,1510687.5564,7557.0,7926
0.7,1,1510966.08272,1436164.44277,5293.0,5293
0.9,0,1169282.75324,904037.203014,9693.0,14076
0.9,0.1,1497899.18841,1490631.68748,17664.0,17664
0.9,0.25,1508836.76534,1507442.80506,15317.0,13899
0.9,0.5,1510933.04311,1510752.896,20000.0,20000
0.9,0.75,1510966.08272,1435726.33628,20000.0,20000
0.9,0.9,1325282.3424,1206654.93116,9718.0,10529
0.9,1,1325282.3424,1241179.51887,7904.0,10149
1.0,0,1185257.45215,1059364.9715,10687.0,7652
1.0,0.1,1499901.00062,1494018.88563,20000.0,20000
1.0,0.25,1509587.47748,1509078.38562,20000.0,20000
1.0,0.5,1510868.24591,1510848.81163,20000.0,20000
1.0,0.75,1510966.0822,1472233.85459,20000.0,20000
1.0,0.9,1325282.3424,1157076.69533,8991.0,12421
1.0,1,1114923.24735,745760.425949,3609.0,4420
1.1,0,1270320.39201,1045380.49583,17530.0,20000
1.1,0.1,1489726.87593,1486332.10559,20000.0,14234
1.1,0.25,1507881.49852,1506502.45576,20000.0,17693
1.1,0.5,1510506.92104,1510245.98428,20000.0,20000
1.1,0.75,1510965.13163,1278316.07671,20000.0,20000
1.1,0.9,1325282.3424,1157076.69533,12439.0,18475
1.1,1,1115025.28356,653665.951837,10995.0,11247
1.5,0,1070568.66307,914472.463326,15801.0,16695
1.5,0.1,1493425.24766,1479682.22339,20000.0,20000
1.5,0.25,1500000.38291,1497691.69798,18685.0,17108
1.5,0.5,1497852.06313,1490368.08986,12679.0,20000
1.5,0.75,1324919.18115,1198842.3024,20000.0,20000
1.5,0.9,1115025.28356,450080.171712,5380.0,20000
1.5,1,-490000.0,-490000.0,3363.0,3356
2,0,1035594.18446,971099.107122,10531.0,17023
2,0.1,1493676.35759,1461258.87497,20000.0,20000
2,0.25,1501937.47075,1493422.44574,17615.0,13124
2,0.5,1478064.62488,1422966.82058,10771.0,16700
2,0.75,1318763.42597,1244197.53094,11707.0,20000
2,0.9,1114728.92179,307796.49534,5005.0,16323
2,1,-349779.672069,-461955.934414,3674.0,3000
